trial_time,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,hand,seq_id,trial,run
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left,a,1,0
